full_date,weekday,time,mood
2022-02-01,Tuesday,18:07,meh
2022-02-01,Tuesday,11:49,fine I’m fine 
2022-01-31,Monday,21:00,fine I’m fine 
2022-01-30,Sunday,18:22,fine I’m fine 
2022-01-29,Saturday,20:31,meh
2022-01-28,Friday,23:59,fine I’m fine 
2022-01-28,Friday,16:35,meh
2022-01-27,Thursday,23:41,sick
2022-01-26,Wednesday,21:22,meh
2022-01-26,Wednesday,13:21,fine I’m fine 
2022-01-25,Tuesday,19:11,fine I’m fine 
2022-01-25,Tuesday,16:18,fine I’m fine 
2022-01-24,Monday,21:00,fine I’m fine 
2022-01-23,Sunday,22:36,meh
2022-01-22,Saturday,21:00,fine I’m fine 
2022-01-22,Saturday,16:01,in love
2022-01-21,Friday,22:30,fine I’m fine 
2022-01-20,Thursday,21:00,fine I’m fine 
2022-01-19,Wednesday,21:00,fine I’m fine 
2022-01-19,Wednesday,13:01,meh
2022-01-18,Tuesday,22:05,fine I’m fine 
2022-01-17,Monday,21:21,fine I’m fine 
2022-01-16,Sunday,16:46,meh
2022-01-15,Saturday,14:36,bad
2022-01-14,Friday,21:01,meh
2022-01-13,Thursday,19:29,meh
2022-01-13,Thursday,15:51,fine I’m fine 
2022-01-12,Wednesday,23:29,fine I’m fine 
2022-01-11,Tuesday,19:40,fine I’m fine 
2022-01-10,Monday,21:33,fine I’m fine 
2022-01-09,Sunday,15:51,fine I’m fine 
2022-01-08,Saturday,13:33,fine I’m fine 
2022-01-07,Friday,15:51,meh
2022-01-06,Thursday,16:33,fine I’m fine 
2022-01-05,Wednesday,18:09,fine I’m fine 
2022-01-05,Wednesday,11:34,anxious
2022-01-04,Tuesday,21:00,meh
2022-01-03,Monday,22:57,meh
2022-01-03,Monday,15:15,wannadie
2022-01-02,Sunday,14:01,meh
2022-01-01,Saturday,15:00,meh
2022-01-01,Saturday,14:00,fine I’m fine 
2021-12-31,Friday,12:44,meh
2021-12-31,Friday,12:44,anxious
2021-12-30,Thursday,21:00,meh
2021-12-29,Wednesday,23:08,fine I’m fine 
2021-12-29,Wednesday,14:13,meh
2021-12-28,Tuesday,22:13,fine I’m fine 
2021-12-27,Monday,15:44,meh
2021-12-27,Monday,15:44,anxious
2021-12-26,Sunday,21:52,meh
2021-12-25,Saturday,18:31,meh
2021-12-24,Friday,15:52,fine I’m fine 
2021-12-23,Thursday,18:35,fine I’m fine 
2021-12-23,Thursday,12:35,meh
2021-12-22,Wednesday,18:35,fine I’m fine 
2021-12-21,Tuesday,20:07,fine I’m fine 
2021-12-21,Tuesday,12:07,meh
2021-12-20,Monday,10:53,meh
2021-12-19,Sunday,19:17,meh
2021-12-18,Saturday,17:31,meh
2021-12-18,Saturday,12:31,fine I’m fine 
2021-12-17,Friday,16:58,meh
2021-12-16,Thursday,21:41,fine I’m fine 
2021-12-16,Thursday,14:30,fine I’m fine 
2021-12-16,Thursday,14:29,meh
2021-12-15,Wednesday,21:00,meh
2021-12-14,Tuesday,22:16,meh
2021-12-13,Monday,22:35,fine I’m fine 
2021-12-12,Sunday,19:49,fine I’m fine 
2021-12-11,Saturday,21:00,fine I’m fine 
2021-12-10,Friday,13:52,fine I’m fine 
2021-12-09,Thursday,22:44,fine I’m fine 
2021-12-09,Thursday,10:51,meh
2021-12-08,Wednesday,20:59,meh
2021-12-07,Tuesday,21:00,meh
2021-12-06,Monday,21:00,meh
2021-12-05,Sunday,17:44,meh
2021-12-04,Saturday,17:43,fine I’m fine 
2021-12-03,Friday,21:00,fine I’m fine 
2021-12-02,Thursday,12:09,meh
2021-12-01,Wednesday,19:55,bad
2021-11-30,Tuesday,22:15,fine I’m fine 
2021-11-29,Monday,19:32,fine I’m fine 
2021-11-28,Sunday,21:00,fine I’m fine 
